*******************************************************************************
Ephemeris / WWW_USER Mon Nov 21 02:15:49 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Earth (399)                     {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-21 00:00:00.0000 UT      
Stop  time      : A.D. 2017-Nov-21 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : Earth_EOP (high precision)      {East-longitude +}
Target radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude +}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.161118.p170209                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-NOV-18. PREDICTS-> 2017-FEB-08
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
****************************************************************************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),   hEcl-Lon,  hEcl-Lat,            delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************************************************************************************************
$$SOE
 2016-Nov-21 00:00, 2457713.500000000, , , 56.6411931, 19.9044519,  58.866665, -0.001953, 0.98785084787488, -0.3344713,  58.8666651, -0.0019528,
 2016-Nov-22 00:00, 2457714.500000000, , , 57.6908672, 20.1222450,  59.876710, -0.002003, 0.98765950312717, -0.3281993,  59.8767104, -0.0020032,
 2016-Nov-23 00:00, 2457715.500000000, , , 58.7439272, 20.3339078,  60.887235, -0.002053, 0.98747167987587, -0.3222682,  60.8872350, -0.0020533,
 2016-Nov-24 00:00, 2457716.500000000, , , 59.8003186, 20.5393419,  61.898226, -0.002101, 0.98728719622073, -0.3166259,  61.8982258, -0.0021012,
 2016-Nov-25 00:00, 2457717.500000000, , , 60.8599800, 20.7384502,  62.909668, -0.002146, 0.98710590050168, -0.3112199,  62.9096676, -0.0021455,
 2016-Nov-26 00:00, 2457718.500000000, , , 61.9228435, 20.9311373,  63.921544, -0.002185, 0.98692767135461, -0.3059979,  63.9215435, -0.0021848,
 2016-Nov-27 00:00, 2457719.500000000, , , 62.9888350, 21.1173095,  64.933835, -0.002218, 0.98675241787476, -0.3009065,  64.9338351, -0.0022178,
 2016-Nov-28 00:00, 2457720.500000000, , , 64.0578744, 21.2968749,  65.946523, -0.002244, 0.98658008045008, -0.2958904,  65.9465225, -0.0022438,
 2016-Nov-29 00:00, 2457721.500000000, , , 65.1298756, 21.4697440,  66.959585, -0.002262, 0.98641063231258, -0.2908911,  66.9595851, -0.0022620,
 2016-Nov-30 00:00, 2457722.500000000, , , 66.2047475, 21.6358297,  67.973001, -0.002272, 0.98624408154180, -0.2858464,  67.9730012, -0.0022721,
