*******************************************************************************
Ephemeris / WWW_USER Mon Nov 21 02:03:34 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup340_merged}
Center body name: Sun (10)                        {source: jup340_merged}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-18 00:00:00.0000 UT      
Stop  time      : A.D. 2028-Nov-18 00:00:00.0000 UT      
Step-size       : 17280 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {East-longitude -}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude +}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: jup340_merged}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.161118.p170209                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-NOV-18. PREDICTS-> 2017-FEB-08
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
****************************************************************************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),   hEcl-Lon,  hEcl-Lat,            delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************************************************************************************************
$$SOE
 2016-Nov-18 00:00, 2457710.500000000, , ,187.2867557, -1.7307771, 187.375022,  1.301776, 5.45449086089710,  0.0765088, 187.3750217,  1.3017755,
 2016-Nov-30 00:00, 2457722.500000000, , ,188.1201703, -2.0870990, 188.281220,  1.302741, 5.45498892589382,  0.0667131, 188.2812200,  1.3027405,
 2016-Dec-12 00:00, 2457734.500000000, , ,188.9538059, -2.4429115, 189.187248,  1.303381, 5.45541647619705,  0.0577799, 189.1872484,  1.3033808,
 2016-Dec-24 00:00, 2457746.500000000, , ,189.7877739, -2.7981610, 190.093158,  1.303695, 5.45577393150038,  0.0461668, 190.0931585,  1.3036951,
 2017-Jan-05 00:00, 2457758.500000000, , ,190.6221578, -3.1527808, 190.998972,  1.303683, 5.45606229339866,  0.0352578, 190.9989721,  1.3036832,
 2017-Jan-17 00:00, 2457770.500000000, , ,191.4570253, -3.5066965, 191.904693,  1.303346, 5.45628076523509,  0.0273421, 191.9046933,  1.3033459,
 2017-Jan-29 00:00, 2457782.500000000, , ,192.2924740, -3.8598481, 192.810360,  1.302683, 5.45642918990417,  0.0167866, 192.8103596,  1.3026829,
 2017-Feb-10 00:00, 2457794.500000000, , ,193.1285848, -4.2121668, 193.715990,  1.301695, 5.45650680152501,  0.0060134, 193.7159903,  1.3016949,
 2017-Feb-22 00:00, 2457806.500000000, , ,193.9654463, -4.5635886, 194.621614,  1.300382, 5.45651423407210, -0.0038853, 194.6216137,  1.3003818,
 2017-Mar-06 00:00, 2457818.500000000, , ,194.8031421, -4.9140474, 195.527253,  1.298743, 5.45645261242608, -0.0153256, 195.5272534,  1.2987430,
