*******************************************************************************
Ephemeris / WWW_USER Mon Nov 21 02:00:42 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: mar097}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-18 00:00:00.0000 UT      
Stop  time      : A.D. 2018-Oct-07 00:00:00.0000 UT      
Step-size       : 1800 minutes
*******************************************************************************
Target pole/equ : IAU_MARS                        {East-longitude -}
Target radii    : 3396.2 x 3396.2 x 3376.2 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude +}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: mar097}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.161118.p170209                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-NOV-18. PREDICTS-> 2017-FEB-08
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
****************************************************************************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),   hEcl-Lon,  hEcl-Lat,            delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************************************************************************************************
$$SOE
 2016-Nov-18 00:00, 2457710.500000000, , ,350.0826349, -6.0274136, 348.522114, -1.616531, 1.38397155504466,  0.4838275, 348.5221141, -1.6165314,
 2016-Nov-19 06:00, 2457711.750000000, , ,350.8083473, -5.7058144, 349.312631, -1.604014, 1.38433185951855,  0.5143183, 349.3126313, -1.6040139,
 2016-Nov-20 12:00, 2457713.000000000, , ,351.5328565, -5.3834802, 350.102715, -1.591198, 1.38471413553281,  0.5446950, 350.1027149, -1.5911982,
 2016-Nov-21 18:00, 2457714.250000000, , ,352.2561861, -5.0604748, 350.892340, -1.578088, 1.38511829836973,  0.5749512, 350.8923399, -1.5780876,
 2016-Nov-23 00:00, 2457715.500000000, , ,352.9783603, -4.7368622, 351.681482, -1.564686, 1.38554425860268,  0.6050802, 351.6814818, -1.5646856,
 2016-Nov-24 06:00, 2457716.750000000, , ,353.6994034, -4.4127058, 352.470116, -1.550996, 1.38599192213947,  0.6350757, 352.4701160, -1.5509956,
 2016-Nov-25 12:00, 2457718.000000000, , ,354.4193403, -4.0880690, 353.258218, -1.537021, 1.38646119026788,  0.6649313, 353.2582183, -1.5370213,
 2016-Nov-26 18:00, 2457719.250000000, , ,355.1381960, -3.7630149, 354.045765, -1.522766, 1.38695195970297,  0.6946407, 354.0457647, -1.5227663,
 2016-Nov-28 00:00, 2457720.500000000, , ,355.8559958, -3.4376062, 354.832731, -1.508234, 1.38746412263633,  0.7241976, 354.8327312, -1.5082343,
 2016-Nov-29 06:00, 2457721.750000000, , ,356.5727655, -3.1119054, 355.619094, -1.493429, 1.38799756678718,  0.7535959, 355.6190942, -1.4934293,
