*******************************************************************************
Ephemeris / WWW_USER Mon Nov 21 02:12:00 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mercury (199)                   {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-21 00:00:00.0000 UT      
Stop  time      : A.D. 2017-Feb-17 00:00:00.0000 UT      
Step-size       : 360 minutes
*******************************************************************************
Target pole/equ : IAU_MERCURY                     {East-longitude -}
Target radii    : 2439.7 x 2439.7 x 2439.7 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude +}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.161118.p170209                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-NOV-18. PREDICTS-> 2017-FEB-08
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
****************************************************************************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),   hEcl-Lon,  hEcl-Lat,            delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************************************************************************************************
$$SOE
 2016-Nov-21 00:00, 2457713.500000000, , ,285.3960863,-28.4816744, 283.564741, -5.764495, 0.45453137057181, -4.4544208, 283.5647414, -5.7644946,
 2016-Nov-21 06:00, 2457713.750000000, , ,286.2226708,-28.4524252, 284.293965, -5.814569, 0.45387995701283, -4.5685321, 284.2939654, -5.8145686,
 2016-Nov-21 12:00, 2457714.000000000, , ,287.0511633,-28.4180769, 285.025442, -5.863849, 0.45321209594916, -4.6822365, 285.0254416, -5.8638487,
 2016-Nov-21 18:00, 2457714.250000000, , ,287.8815525,-28.3785927, 285.759232, -5.912323, 0.45252784724043, -4.7955185, 285.7592323, -5.9123225,
 2016-Nov-22 00:00, 2457714.500000000, , ,288.7138266,-28.3339356, 286.495400, -5.959978, 0.45182727298984, -4.9083623, 286.4954002, -5.9599775,
 2016-Nov-22 06:00, 2457714.750000000, , ,289.5479738,-28.2840684, 287.234009, -6.006801, 0.45111043760282, -5.0207520, 287.2340086, -6.0068006,
 2016-Nov-22 12:00, 2457715.000000000, , ,290.3839821,-28.2289538, 287.975121, -6.052779, 0.45037740784772, -5.1326708, 287.9751213, -6.0527786,
 2016-Nov-22 18:00, 2457715.250000000, , ,291.2218393,-28.1685543, 288.718803, -6.097898, 0.44962825291871, -5.2441018, 288.7188027, -6.0978979,
 2016-Nov-23 00:00, 2457715.500000000, , ,292.0615333,-28.1028323, 289.465118, -6.142145, 0.44886304450077, -5.3550275, 289.4651178, -6.1421445,
 2016-Nov-23 06:00, 2457715.750000000, , ,292.9030520,-28.0317501, 290.214132, -6.185504, 0.44808185683700, -5.4654298, 290.2141320, -6.1855041,
