*******************************************************************************
Ephemeris / WWW_USER Mon Nov 21 02:10:06 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Neptune (899)                   {source: nep081xl}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-18 00:00:00.0000 UT      
Stop  time      : A.D. 2181-Nov-18 00:00:00.0000 UT      
Step-size       : 237600 minutes
*******************************************************************************
Target pole/equ : IAU_NEPTUNE                     {East-longitude -}
Target radii    : 24764.0 x 24764.0 x 24341.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude +}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.161118.p170209                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-NOV-18. PREDICTS-> 2017-FEB-08
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
****************************************************************************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),   hEcl-Lon,  hEcl-Lat,            delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************************************************************************************************
$$SOE
 2016-Nov-18 00:00, 2457710.500000000, , ,342.6565556, -8.2940380, 340.849100, -0.860220, 29.9525611567756, -0.0364368, 340.8491002, -0.8602200,
 2017-May-02 00:00, 2457875.500000000, , ,343.5940150, -7.9408626, 341.841850, -0.886943, 29.9492614465057, -0.0339783, 341.8418499, -0.8869426,
 2017-Oct-14 00:00, 2458040.500000000, , ,344.5304036, -7.5853804, 342.835194, -0.913410, 29.9461757812760, -0.0320978, 342.8351936, -0.9134104,
 2018-Mar-28 00:00, 2458205.500000000, , ,345.4658026, -7.2276799, 343.829150, -0.939616, 29.9432639094815, -0.0301330, 343.8291497, -0.9396157,
 2018-Sep-09 00:00, 2458370.500000000, , ,346.4003403, -6.8678287, 344.823786, -0.965549, 29.9405054146119, -0.0284313, 344.8237865, -0.9655487,
 2019-Feb-21 00:00, 2458535.500000000, , ,347.3341175, -6.5059078, 345.819141, -0.991202, 29.9378340147667, -0.0272283, 345.8191410, -0.9912016,
 2019-Aug-05 00:00, 2458700.500000000, , ,348.2672187, -6.1420046, 346.815232, -1.016565, 29.9352342897017, -0.0266310, 346.8152315, -1.0165653,
 2020-Jan-17 00:00, 2458865.500000000, , ,349.1997255, -5.7762095, 347.812072, -1.041632, 29.9326376129243, -0.0267668, 347.8120718, -1.0416318,
 2020-Jun-30 00:00, 2459030.500000000, , ,350.1316672, -5.4086337, 348.809618, -1.066391, 29.9300032825810, -0.0272314, 348.8096181, -1.0663913,
 2020-Dec-12 00:00, 2459195.500000000, , ,351.0631261, -5.0393684, 349.807882, -1.090835, 29.9272676129165, -0.0288925, 349.8078824, -1.0908353,
