*******************************************************************************
Ephemeris / WWW_USER Mon Nov 21 02:05:20 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Saturn (699)                    {source: sat389}
Center body name: Sun (10)                        {source: sat389}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-18 00:00:00.0000 UT      
Stop  time      : A.D. 2045-Nov-18 00:00:00.0000 UT      
Step-size       : 41760 minutes
*******************************************************************************
Target pole/equ : IAU_SATURN                      {East-longitude -}
Target radii    : 60268.0 x 60268.0 x 54364.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude +}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: sat389}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.161118.p170209                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-NOV-18. PREDICTS-> 2017-FEB-08
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
****************************************************************************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),   hEcl-Lon,  hEcl-Lat,            delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************************************************************************************************
$$SOE
 2016-Nov-18 00:00, 2457710.500000000, , ,257.0438063,-21.4492981, 257.951202,  1.449715, 10.0446092120698,  0.1412376, 257.9512020,  1.4497154,
 2016-Dec-17 00:00, 2457739.500000000, , ,257.9772435,-21.5554587, 258.825860,  1.418680, 10.0468910885636,  0.1334629, 258.8258604,  1.4186805,
 2017-Jan-15 00:00, 2457768.500000000, , ,258.9116438,-21.6563714, 259.700148,  1.387333, 10.0490468779996,  0.1245813, 259.7001483,  1.3873329,
 2017-Feb-13 00:00, 2457797.500000000, , ,259.8469645,-21.7520097, 260.574082,  1.355680, 10.0510763881126,  0.1160699, 260.5740825,  1.3556799,
 2017-Mar-14 00:00, 2457826.500000000, , ,260.7831602,-21.8423530, 261.447679,  1.323724, 10.0529768575140,  0.1089179, 261.4476790,  1.3237242,
 2017-Apr-12 00:00, 2457855.500000000, , ,261.7202018,-21.9273843, 262.320970,  1.291468, 10.0547454330104,  0.1022730, 262.3209704,  1.2914677,
 2017-May-11 00:00, 2457884.500000000, , ,262.6580629,-22.0070832, 263.193993,  1.258916, 10.0563799387409,  0.0949435, 263.1939927,  1.2589161,
 2017-Jun-09 00:00, 2457913.500000000, , ,263.5967004,-22.0814217, 264.066767,  1.226084, 10.0578816771576,  0.0859885, 264.0667667,  1.2260835,
 2017-Jul-08 00:00, 2457942.500000000, , ,264.5360546,-22.1503748, 264.939300,  1.192982, 10.0592524021988,  0.0768533, 264.9392998,  1.1929816,
 2017-Aug-06 00:00, 2457971.500000000, , ,265.4760637,-22.2139260, 265.811598,  1.159615, 10.0604912027761,  0.0689461, 265.8115983,  1.1596151,
