*******************************************************************************
Ephemeris / WWW_USER Mon Nov 21 02:08:16 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Uranus (799)                    {source: ura111}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-18 00:00:00.0000 UT      
Stop  time      : A.D. 2100-Nov-18 00:00:00.0000 UT      
Step-size       : 120960 minutes
*******************************************************************************
Target pole/equ : IAU_URANUS                      {East-longitude +}
Target radii    : 25559.0 x 25559.0 x 24973.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude +}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.161118.p170209                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-NOV-18. PREDICTS-> 2017-FEB-08
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
****************************************************************************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),   hEcl-Lon,  hEcl-Lat,            delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************************************************************************************************
$$SOE
 2016-Nov-18 00:00, 2457710.500000000, , , 21.1593381,  8.2452866,  22.632606, -0.602841, 19.9447925626251, -0.1701755,  22.6326060, -0.6028409,
 2017-Feb-10 00:00, 2457794.500000000, , , 22.0107043,  8.5889160,  23.542223, -0.595112, 19.9364444277474, -0.1737743,  23.5422231, -0.5951116,
 2017-May-05 00:00, 2457878.500000000, , , 22.8642850,  8.9309403,  24.452556, -0.587229, 19.9279389017226, -0.1769745,  24.4525557, -0.5872289,
 2017-Jul-28 00:00, 2457962.500000000, , , 23.7202160,  9.2713074,  25.363685, -0.579192, 19.9192853651912, -0.1798837,  25.3636847, -0.5791919,
 2017-Oct-20 00:00, 2458046.500000000, , , 24.5785879,  9.6099420,  26.275642, -0.571004, 19.9104699087046, -0.1832748,  26.2756423, -0.5710043,
 2018-Jan-12 00:00, 2458130.500000000, , , 25.4394651,  9.9467593,  27.188433, -0.562669, 19.9015004689647, -0.1865609,  27.1884335, -0.5626687,
 2018-Apr-06 00:00, 2458214.500000000, , , 26.3029519, 10.2816944,  28.102108, -0.554183, 19.8923796092953, -0.1895293,  28.1021082, -0.5541828,
 2018-Jun-29 00:00, 2458298.500000000, , , 27.1691232, 10.6146645,  29.016684, -0.545550, 19.8831092573174, -0.1925392,  29.0166837, -0.5455501,
 2018-Sep-21 00:00, 2458382.500000000, , , 28.0380917, 10.9456019,  29.932218, -0.536773, 19.8736981849439, -0.1955821,  29.9322184, -0.5367726,
 2018-Dec-14 00:00, 2458466.500000000, , , 28.9099554, 11.2744350,  30.848757, -0.527850, 19.8641303380086, -0.1987230,  30.8487567, -0.5278499,
