*******************************************************************************
Ephemeris / WWW_USER Mon Nov 21 02:14:54 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Venus (299)                     {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-21 00:00:00.0000 UT      
Stop  time      : A.D. 2017-Jul-04 00:00:00.0000 UT      
Step-size       : 840 minutes
*******************************************************************************
Target pole/equ : IAU_VENUS                       {East-longitude +}
Target radii    : 6051.8 x 6051.8 x 6051.8 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude +}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.161118.p170209                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-NOV-18. PREDICTS-> 2017-FEB-08
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
****************************************************************************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),   hEcl-Lon,  hEcl-Lat,            delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************************************************************************************************
$$SOE
 2016-Nov-21 00:00, 2457713.500000000, , ,346.8583355, -9.3087700, 344.296000, -3.391585, 0.72742379403532, -0.1274351, 344.2959997, -3.3915851,
 2016-Nov-21 14:00, 2457714.083333333, , ,347.7214175, -8.9512060, 345.221744, -3.393375, 0.72738032267551, -0.1306236, 345.2217440, -3.3933751,
 2016-Nov-22 04:00, 2457714.666666667, , ,348.5829040, -8.5916041, 346.147603, -3.394281, 0.72733578273083, -0.1337785, 346.1476029, -3.3942814,
 2016-Nov-22 18:00, 2457715.250000000, , ,349.4428603, -8.2300476, 347.073578, -3.394303, 0.72729018567894, -0.1368989, 347.0735775, -3.3943034,
 2016-Nov-23 08:00, 2457715.833333333, , ,350.3013533, -7.8666196, 347.999669, -3.393441, 0.72724354327309, -0.1399841, 347.9996688, -3.3934407,
 2016-Nov-23 22:00, 2457716.416666667, , ,351.1584502, -7.5014032, 348.925878, -3.391693, 0.72719586753937, -0.1430331, 348.9258778, -3.3916933,
 2016-Nov-24 12:00, 2457717.000000000, , ,352.0142198, -7.1344813, 349.852205, -3.389061, 0.72714717077394, -0.1460452, 349.8522053, -3.3890613,
 2016-Nov-25 02:00, 2457717.583333333, , ,352.8687311, -6.7659369, 350.778652, -3.385545, 0.72709746554010, -0.1490196, 350.7786523, -3.3855450,
 2016-Nov-25 16:00, 2457718.166666667, , ,353.7220545, -6.3958525, 351.705220, -3.381145, 0.72704676466542, -0.1519556, 351.7052198, -3.3811449,
 2016-Nov-26 06:00, 2457718.750000000, , ,354.5742607, -6.0243109, 352.631909, -3.375862, 0.72699508123869, -0.1548523, 352.6319085, -3.3758618,
